,filepath,label
0,/content/drive/MyDrive/Kaggle/PBC_dataset_normal_DIB/PBC_dataset_normal_DIB/erythroblast/ERB_940294.jpg,basophil
1,/content/drive/MyDrive/Kaggle/PBC_dataset_normal_DIB/PBC_dataset_normal_DIB/erythroblast/ERB_940294.jpg,basophil
2,/content/drive/MyDrive/Kaggle/PBC_dataset_normal_DIB/PBC_dataset_normal_DIB/erythroblast/ERB_940294.jpg,basophil
3,/content/drive/MyDrive/Kaggle/PBC_dataset_normal_DIB/PBC_dataset_normal_DIB/erythroblast/ERB_940294.jpg,basophil
4,/content/drive/MyDrive/Kaggle/PBC_dataset_normal_DIB/PBC_dataset_normal_DIB/erythroblast/ERB_940294.jpg,basophil
5,/content/drive/MyDrive/Kaggle/PBC_dataset_normal_DIB/PBC_dataset_normal_DIB/erythroblast/ERB_940294.jpg,basophil
6,/content/drive/MyDrive/Kaggle/PBC_dataset_normal_DIB/PBC_dataset_normal_DIB/erythroblast/ERB_940294.jpg,basophil
7,/content/drive/MyDrive/Kaggle/PBC_dataset_normal_DIB/PBC_dataset_normal_DIB/erythroblast/ERB_940294.jpg,basophil
8,/content/drive/MyDrive/Kaggle/PBC_dataset_normal_DIB/PBC_dataset_normal_DIB/erythroblast/ERB_940294.jpg,basophil
9,/content/drive/MyDrive/Kaggle/PBC_dataset_normal_DIB/PBC_dataset_normal_DIB/erythroblast/ERB_940294.jpg,basophil
10,/content/drive/MyDrive/Kaggle/PBC_dataset_normal_DIB/PBC_dataset_normal_DIB/erythroblast/ERB_940294.jpg,basophil
11,/content/drive/MyDrive/Kaggle/PBC_dataset_normal_DIB/PBC_dataset_normal_DIB/erythroblast/ERB_940294.jpg,basophil
12,/content/drive/MyDrive/Kaggle/PBC_dataset_normal_DIB/PBC_dataset_normal_DIB/erythroblast/ERB_940294.jpg,basophil
13,/content/drive/MyDrive/Kaggle/PBC_dataset_normal_DIB/PBC_dataset_normal_DIB/erythroblast/ERB_940294.jpg,basophil
14,/content/drive/MyDrive/Kaggle/PBC_dataset_normal_DIB/PBC_dataset_normal_DIB/erythroblast/ERB_940294.jpg,basophil
15,/content/drive/MyDrive/Kaggle/PBC_dataset_normal_DIB/PBC_dataset_normal_DIB/erythroblast/ERB_940294.jpg,basophil
16,/content/drive/MyDrive/Kaggle/PBC_dataset_normal_DIB/PBC_dataset_normal_DIB/erythroblast/ERB_940294.jpg,basophil
17,/content/drive/MyDrive/Kaggle/PBC_dataset_normal_DIB/PBC_dataset_normal_DIB/erythroblast/ERB_940294.jpg,basophil
18,/content/drive/MyDrive/Kaggle/PBC_dataset_normal_DIB/PBC_dataset_normal_DIB/erythroblast/ERB_940294.jpg,basophil
19,/content/drive/MyDrive/Kaggle/PBC_dataset_normal_DIB/PBC_dataset_normal_DIB/erythroblast/ERB_940294.jpg,basophil
20,/content/drive/MyDrive/Kaggle/PBC_dataset_normal_DIB/PBC_dataset_normal_DIB/erythroblast/ERB_940294.jpg,basophil
21,/content/drive/MyDrive/Kaggle/PBC_dataset_normal_DIB/PBC_dataset_normal_DIB/erythroblast/ERB_940294.jpg,basophil
22,/content/drive/MyDrive/Kaggle/PBC_dataset_normal_DIB/PBC_dataset_normal_DIB/erythroblast/ERB_940294.jpg,basophil
23,/content/drive/MyDrive/Kaggle/PBC_dataset_normal_DIB/PBC_dataset_normal_DIB/erythroblast/ERB_940294.jpg,basophil
24,/content/drive/MyDrive/Kaggle/PBC_dataset_normal_DIB/PBC_dataset_normal_DIB/erythroblast/ERB_940294.jpg,basophil
25,/content/drive/MyDrive/Kaggle/PBC_dataset_normal_DIB/PBC_dataset_normal_DIB/erythroblast/ERB_940294.jpg,basophil
26,/content/drive/MyDrive/Kaggle/PBC_dataset_normal_DIB/PBC_dataset_normal_DIB/erythroblast/ERB_940294.jpg,basophil
27,/content/drive/MyDrive/Kaggle/PBC_dataset_normal_DIB/PBC_dataset_normal_DIB/erythroblast/ERB_940294.jpg,basophil
28,/content/drive/MyDrive/Kaggle/PBC_dataset_normal_DIB/PBC_dataset_normal_DIB/erythroblast/ERB_940294.jpg,basophil
29,/content/drive/MyDrive/Kaggle/PBC_dataset_normal_DIB/PBC_dataset_normal_DIB/erythroblast/ERB_940294.jpg,basophil
30,/content/drive/MyDrive/Kaggle/PBC_dataset_normal_DIB/PBC_dataset_normal_DIB/erythroblast/ERB_940294.jpg,basophil
31,/content/drive/MyDrive/Kaggle/PBC_dataset_normal_DIB/PBC_dataset_normal_DIB/erythroblast/ERB_940294.jpg,basophil
32,/content/drive/MyDrive/Kaggle/PBC_dataset_normal_DIB/PBC_dataset_normal_DIB/erythroblast/ERB_940294.jpg,basophil
33,/content/drive/MyDrive/Kaggle/PBC_dataset_normal_DIB/PBC_dataset_normal_DIB/erythroblast/ERB_940294.jpg,basophil
34,/content/drive/MyDrive/Kaggle/PBC_dataset_normal_DIB/PBC_dataset_normal_DIB/erythroblast/ERB_940294.jpg,basophil
35,/content/drive/MyDrive/Kaggle/PBC_dataset_normal_DIB/PBC_dataset_normal_DIB/erythroblast/ERB_940294.jpg,basophil
36,/content/drive/MyDrive/Kaggle/PBC_dataset_normal_DIB/PBC_dataset_normal_DIB/erythroblast/ERB_940294.jpg,basophil
37,/content/drive/MyDrive/Kaggle/PBC_dataset_normal_DIB/PBC_dataset_normal_DIB/erythroblast/ERB_940294.jpg,basophil
38,/content/drive/MyDrive/Kaggle/PBC_dataset_normal_DIB/PBC_dataset_normal_DIB/erythroblast/ERB_940294.jpg,basophil
39,/content/drive/MyDrive/Kaggle/PBC_dataset_normal_DIB/PBC_dataset_normal_DIB/erythroblast/ERB_940294.jpg,basophil
40,/content/drive/MyDrive/Kaggle/PBC_dataset_normal_DIB/PBC_dataset_normal_DIB/erythroblast/ERB_940294.jpg,basophil
41,/content/drive/MyDrive/Kaggle/PBC_dataset_normal_DIB/PBC_dataset_normal_DIB/erythroblast/ERB_940294.jpg,basophil
42,/content/drive/MyDrive/Kaggle/PBC_dataset_normal_DIB/PBC_dataset_normal_DIB/erythroblast/ERB_940294.jpg,basophil
43,/content/drive/MyDrive/Kaggle/PBC_dataset_normal_DIB/PBC_dataset_normal_DIB/erythroblast/ERB_940294.jpg,basophil
44,/content/drive/MyDrive/Kaggle/PBC_dataset_normal_DIB/PBC_dataset_normal_DIB/erythroblast/ERB_940294.jpg,basophil
45,/content/drive/MyDrive/Kaggle/PBC_dataset_normal_DIB/PBC_dataset_normal_DIB/erythroblast/ERB_940294.jpg,basophil
46,/content/drive/MyDrive/Kaggle/PBC_dataset_normal_DIB/PBC_dataset_normal_DIB/erythroblast/ERB_940294.jpg,basophil
47,/content/drive/MyDrive/Kaggle/PBC_dataset_normal_DIB/PBC_dataset_normal_DIB/erythroblast/ERB_940294.jpg,basophil
48,/content/drive/MyDrive/Kaggle/PBC_dataset_normal_DIB/PBC_dataset_normal_DIB/erythroblast/ERB_940294.jpg,basophil
49,/content/drive/MyDrive/Kaggle/PBC_dataset_normal_DIB/PBC_dataset_normal_DIB/erythroblast/ERB_940294.jpg,basophil
50,/content/drive/MyDrive/Kaggle/PBC_dataset_normal_DIB/PBC_dataset_normal_DIB/erythroblast/ERB_940294.jpg,basophil
51,/content/drive/MyDrive/Kaggle/PBC_dataset_normal_DIB/PBC_dataset_normal_DIB/erythroblast/ERB_940294.jpg,basophil
52,/content/drive/MyDrive/Kaggle/PBC_dataset_normal_DIB/PBC_dataset_normal_DIB/erythroblast/ERB_940294.jpg,basophil
53,/content/drive/MyDrive/Kaggle/PBC_dataset_normal_DIB/PBC_dataset_normal_DIB/erythroblast/ERB_940294.jpg,basophil
54,/content/drive/MyDrive/Kaggle/PBC_dataset_normal_DIB/PBC_dataset_normal_DIB/erythroblast/ERB_940294.jpg,basophil
